Read 1000 bodies from file dataset/bodies_1000.csv
Using 5 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
121	11.36		-64.77		18.53		-53.98		7.65		-3.22		7.38
122	56.74		16.82		-57.61		50.54		0.11		-9.17		0.71
123	47.54		-10.03		-34.20		-68.21		4.60		-0.93		-6.13
124	68.10		49.43		-10.83		88.63		1.06		7.15		7.56
125	70.88		-15.07		-12.12		-75.62		-1.84		-7.94		-1.13
126	71.30		80.74		55.28		-80.51		-7.87		4.74		8.61
127	97.81		-3.23		17.16		18.89		7.19		7.70		-8.46
128	80.94		-80.05		-30.19		-8.97		0.02		5.07		-3.20
129	47.41		72.78		97.32		-14.59		-7.82		8.79		9.70
130	69.69		-84.60		95.51		21.62		3.91		-7.71		-2.92
131	69.36		66.55		-43.48		-26.90		3.31		-4.85		-3.85
132	20.82		78.68		-23.07		73.20		-2.57		-6.94		-4.59
133	75.08		69.97		19.83		-20.33		-0.91		-4.35		2.38
134	30.03		38.23		94.10		-24.20		-4.67		8.96		-4.66
135	66.90		-41.62		-55.18		-91.90		9.25		-4.41		-5.65
136	19.62		70.44		33.86		-6.94		-4.46		9.63		3.58
137	5.85		44.08		59.96		83.32		-2.82		2.28		-3.22
138	3.21		6.70		-89.95		67.07		-1.67		4.55		0.07
139	8.18		-47.60		20.57		-13.15		-5.87		-8.08		8.17
140	12.97		-58.05		35.23		38.12		-1.46		-1.39		-2.40
141	19.53		-54.77		25.88		-42.14		0.31		-4.12		5.22
142	6.35		65.31		-71.62		68.30		8.22		3.64		-3.25
143	97.88		-45.24		66.30		-74.05		4.22		8.84		0.44
144	76.38		97.72		98.59		82.96		-4.88		2.25		-7.51
145	74.73		-81.64		-52.60		-40.48		-7.86		-3.98		7.74
146	20.41		8.00		23.19		-82.26		1.91		6.46		7.94
147	70.81		-49.18		-46.21		99.19		0.04		1.01		3.57
148	78.15		7.45		-42.83		-63.64		-6.91		-0.26		8.44
149	97.52		-93.00		83.71		99.29		4.10		4.90		8.89
150	81.10		-79.66		17.15		-63.13		8.93		-0.08		9.30
151	61.81		48.38		17.03		-17.97		-2.12		0.06		-4.90
152	52.51		-40.35		-74.19		65.77		-8.98		9.95		8.37
153	34.16		91.34		-34.63		-60.20		6.07		-0.75		-1.66
154	50.14		7.44		-4.50		40.11		2.47		-6.21		3.51
155	27.49		42.73		-91.67		-97.69		-8.81		-7.28		3.24
156	23.82		7.95		70.31		-97.19		5.60		-3.03		4.15
157	91.39		-94.76		-27.90		-56.53		-5.56		6.69		5.34
158	28.10		99.15		95.42		61.28		-0.69		-0.60		6.72
159	66.03		-71.69		18.17		22.22		-4.33		-5.42		7.42
160	26.44		-74.55		67.70		17.35		-9.16		4.65		8.81
161	26.22		25.06		13.38		-80.46		2.15		-5.49		0.65
162	83.41		7.98		28.94		-84.69		-7.16		-2.60		8.54
163	66.14		41.27		-23.50		61.84		-7.77		2.83		1.73
164	43.07		82.12		14.62		-80.46		8.66		1.93		-0.30
165	3.84		-65.94		-36.11		12.83		4.45		-6.71		6.55
166	93.81		-88.81		-22.90		7.91		-1.24		1.71		4.32
167	49.78		22.29		23.83		16.21		-3.07		1.40		5.87
168	21.22		-59.38		-72.28		39.86		3.03		-0.87		-4.87
169	53.40		55.42		71.78		47.43		5.78		-8.25		0.10
170	21.44		47.57		99.30		-78.09		2.58		-3.70		-0.57
171	98.70		47.58		-62.38		-65.56		6.74		4.86		-8.75
172	42.92		98.22		91.94		25.49		6.26		0.93		-8.31
173	65.99		-23.30		47.32		74.04		1.87		7.74		2.48
174	72.27		35.57		-7.30		21.75		-3.13		-1.93		0.30
175	36.72		17.74		-71.10		-31.06		-4.92		-5.14		-1.86
176	55.43		-41.87		-5.82		44.71		8.10		-1.13		1.82
177	89.69		-40.15		12.45		92.66		8.81		7.99		-5.54
178	90.96		-88.51		53.86		-57.95		0.82		7.52		8.49
179	42.04		-46.57		84.19		66.38		-1.33		-4.30		5.22
180	95.70		-27.45		93.50		-0.10		-8.57		3.49		-0.49
181	43.94		82.11		-92.82		-12.76		2.32		-4.43		9.79
182	52.74		84.96		-6.04		-52.24		-2.36		-5.47		7.56
183	14.87		-44.49		-32.80		89.88		5.72		-8.32		9.31
184	44.03		-83.19		-94.23		-86.04		-5.10		3.61		-4.99
185	48.60		-78.93		87.10		16.03		8.85		4.26		6.53
186	25.96		-93.13		-81.87		28.06		0.34		-3.88		0.13
187	18.58		14.13		-90.68		8.20		8.64		-5.21		6.85
188	13.24		43.97		-79.70		18.00		-7.62		-0.80		9.17
189	32.90		-85.77		-79.80		-85.12		-9.48		5.71		-5.56
190	46.99		-33.72		-41.86		-97.88		-0.94		-8.00		7.94
191	28.03		-45.76		64.83		-82.80		2.87		6.89		-4.21
192	96.30		-83.85		94.09		-92.85		0.91		4.73		-8.91
193	14.32		64.21		15.62		-44.41		-5.78		-7.65		-4.43
194	70.82		82.99		57.49		88.16		4.97		3.30		9.36
195	6.11		61.53		-26.45		-80.60		2.99		7.20		-0.81
196	60.77		21.34		-83.86		35.71		5.19		4.47		1.62
197	97.23		15.42		-78.32		91.28		-0.50		8.18		-3.15
198	77.26		-50.37		31.95		11.18		-2.14		2.71		-3.88
199	54.20		-10.28		83.43		82.45		-3.34		8.43		-4.57
200	14.89		-27.66		90.45		91.58		-8.63		2.38		0.50
201	9.87		-44.13		1.28		59.35		-5.47		0.58		0.41
202	71.71		-58.92		94.29		91.76		1.38		7.68		-5.54
203	1.56		-87.67		-3.07		8.99		7.83		5.85		6.47
204	18.77		58.58		-63.15		17.36		-9.14		1.41		-8.70
205	22.53		28.30		71.73		-32.72		-9.99		-5.88		2.09
206	72.23		-97.21		35.63		58.42		-9.12		7.28		6.62
207	16.65		47.99		-14.93		-35.65		7.53		-7.55		5.99
208	39.38		-81.11		40.44		-1.46		7.21		3.67		0.92
209	94.44		99.72		-40.05		-75.72		0.54		-8.22		-1.01
210	79.27		4.88		87.05		54.40		-4.27		8.14		4.19
211	97.18		83.04		-93.39		77.62		9.80		7.37		-3.69
212	88.03		-67.61		-0.51		93.61		-6.48		4.01		-3.36
213	27.21		-92.20		-48.16		68.17		7.40		-4.96		-1.64
214	44.34		-82.22		-61.53		80.41		-1.60		2.06		-9.77
215	85.80		-73.75		-32.94		73.66		1.56		-8.78		2.33
216	88.19		48.89		-17.94		28.86		-9.19		8.64		2.51
217	2.19		93.15		27.99		53.39		-2.07		0.21		8.70
218	44.35		63.29		91.35		87.15		-7.61		-7.94		-5.30
219	28.93		-33.47		-28.75		49.78		-1.22		6.30		-6.22
220	50.43		45.69		-33.25		36.17		-4.13		-2.05		0.95
221	72.60		-89.24		71.26		-77.22		-7.44		6.07		-0.88
222	50.18		-57.73		47.67		-50.07		-9.43		1.14		5.36
223	48.66		-5.87		27.50		68.32		4.35		7.13		8.06
224	46.23		-55.98		43.82		-95.17		9.93		3.94		5.30
225	43.83		33.64		43.48		-10.22		-3.27		-3.26		-1.83
226	70.67		97.86		-9.33		63.45		3.61		4.95		-8.10
227	55.66		-10.76		11.29		-59.96		4.58		2.57		-3.34
228	35.67		65.03		-37.35		-38.84		-3.63		3.54		0.94
229	5.53		-52.24		-91.83		29.39		-4.16		3.17		-1.92
230	33.71		72.04		-20.87		-79.16		3.45		-0.93		4.30
231	84.96		-33.78		-16.44		40.61		4.88		4.13		-2.42
232	74.93		-93.97		26.33		-76.84		9.40		0.15		2.47
233	5.23		-17.95		94.70		93.25		-2.84		7.39		8.72
234	57.97		9.81		-48.26		5.93		4.29		-6.71		0.02
235	5.82		21.01		-86.29		95.90		-9.60		-7.20		6.40
236	66.76		64.03		-18.71		62.04		1.11		-4.40		4.69
237	79.94		-8.87		-25.66		-59.71		-9.69		8.40		-1.74
238	17.11		-9.82		34.62		-58.36		-7.78		0.77		-0.33
239	19.65		-3.08		41.57		-41.79		-3.26		-6.89		-2.70
240	85.35		51.12		46.20		-21.13		5.74		6.39		-9.74
241	57.35		-16.35		98.52		48.65		-3.02		5.30		2.95
242	98.29		-56.01		-29.58		39.68		3.19		9.36		1.28
243	19.78		-83.53		-19.62		-63.82		4.34		1.82		-6.75
244	18.43		79.14		44.76		77.66		-7.46		-9.88		-8.70
245	95.48		9.42		17.01		7.28		-0.38		-5.47		-6.27
246	42.83		-61.88		66.15		-10.91		-3.48		3.17		-6.65
247	3.86		19.92		90.90		4.85		6.40		-0.41		3.57
248	69.73		-95.28		72.11		-9.10		-1.13		7.64		-2.53
249	29.61		-78.45		75.68		91.69		-0.12		4.38		-3.15
250	43.72		14.32		74.86		4.09		-7.33		-8.73		-5.26
251	32.07		-51.47		-22.34		82.40		8.31		-2.76		-7.64
252	6.61		-43.07		60.17		6.53		-3.23		2.22		4.22
253	9.64		36.96		25.61		96.49		1.53		-7.25		7.55
254	36.00		-11.88		-54.04		30.35		-2.59		8.42		-8.46
255	13.85		-12.12		53.36		-80.90		-6.74		3.84		-4.91
256	53.24		-99.28		41.80		75.37		-0.67		1.71		2.63
257	25.85		69.69		8.13		-0.27		-7.64		-6.93		-5.91
258	72.40		-53.43		-50.67		81.68		-0.78		-0.38		-4.75
259	99.71		-94.27		-99.19		-66.41		-5.82		5.85		3.61
260	22.16		65.09		22.79		65.74		0.01		-8.10		9.05
261	62.28		81.35		83.10		-72.69		-0.37		-9.36		4.40
262	9.45		-6.59		-86.08		-90.13		-7.23		-8.26		-8.98
263	23.67		33.87		-40.27		34.26		1.05		5.16		1.08
264	53.77		85.02		52.65		-32.23		1.72		-6.37		0.52
265	98.02		99.54		-78.91		-58.99		-5.44		6.15		7.51
266	86.96		97.14		57.20		-42.44		-8.10		-5.85		9.94
267	6.74		81.81		-61.99		93.31		-8.04		-5.91		-2.76
268	79.25		-83.07		-99.16		-10.66		-6.21		1.43		7.32
269	70.45		66.88		-76.84		39.65		-7.58		-3.46		-4.68
270	19.48		57.21		-61.30		-57.89		-9.69		-1.18		9.66
271	6.06		8.58		63.53		-89.88		0.15		-9.84		5.02
272	90.61		63.59		-76.08		-96.73		-7.26		-2.76		2.44
273	97.68		67.52		-99.16		-6.20		8.62		7.32		7.00
274	84.87		-2.53		-57.68		70.11		-0.37		-6.75		-6.71
275	82.64		-80.86		95.63		2.73		-2.95		-2.26		-3.51
276	52.12		30.76		64.18		-24.77		0.33		-9.98		2.06
277	76.43		80.37		-29.81		-88.59		4.54		-2.12		-7.24
278	69.75		-63.63		3.19		3.11		-3.29		6.63		9.88
279	95.70		-19.93		9.25		-24.39		0.95		-5.60		4.08
280	52.11		11.01		43.44		-90.42		-7.69		-0.40		8.36
281	1.46		-54.41		39.88		-40.37		2.95		-3.35		-4.25
282	6.30		-49.50		-6.80		73.69		4.90		-9.93		8.76
283	5.45		-27.08		-7.83		-88.97		-5.47		3.25		-6.66
284	5.74		19.21		69.66		-43.51		0.76		-5.75		0.13
285	30.86		-32.12		-65.38		4.34		-8.31		4.51		-5.11
286	23.92		-60.71		-74.00		-95.20		6.53		-0.14		-2.02
287	35.88		85.59		-14.16		66.19		-8.68		0.05		-8.64
288	26.12		52.35		41.75		61.22		9.57		6.79		1.31
289	61.78		51.76		99.15		-9.40		-7.74		-1.96		-8.77
290	21.12		-5.42		-80.79		-48.56		1.44		-6.02		7.24
291	61.40		-48.97		10.03		21.66		5.32		3.84		-4.98
292	64.39		-96.56		45.56		-48.18		1.44		-4.72		-1.51
293	17.38		4.67		55.59		82.30		6.52		-8.11		-5.27
294	85.25		-20.07		22.61		-58.43		-6.21		7.21		-8.51
295	1.51		-66.19		-84.43		-56.06		2.23		-3.01		-7.54
296	23.45		-25.53		-25.21		-14.21		0.14		1.89		-2.44
297	54.80		30.60		-13.34		26.00		8.34		6.22		3.43
298	95.35		-8.46		57.14		-76.07		7.93		-9.76		8.54
299	56.94		-1.81		13.54		-1.39		-5.96		7.17		3.20
300	30.52		-0.32		12.37		42.93		7.93		-2.14		-8.67
301	52.23		-20.21		-96.67		18.59		6.76		-8.36		-6.83
302	95.31		-67.61		40.15		62.04		-1.63		8.22		2.98
303	7.90		-44.89		-39.76		-53.68		2.01		4.02		-4.37
304	98.87		-46.62		37.07		68.97		4.12		-6.93		-6.39
305	99.05		65.07		84.29		-22.72		-9.40		2.59		4.98
306	74.40		-83.25		-28.72		73.39		0.07		-8.93		0.93
307	49.25		22.45		-56.14		41.84		-2.95		8.84		-4.53
308	78.18		-6.90		56.76		62.16		4.06		8.24		0.43
309	43.29		-95.42		1.18		85.76		0.07		5.91		-2.28
310	27.50		-25.55		13.76		75.71		7.88		8.42		-6.68
311	53.29		94.44		-24.41		-42.57		-7.71		-5.81		1.00
312	81.05		17.59		-63.37		-6.31		0.75		-6.14		-1.17
313	84.65		69.61		7.38		33.83		1.78		8.63		2.99
314	50.59		1.74		-30.68		85.67		3.66		-4.59		-6.06
315	35.39		-90.41		-55.30		13.55		-6.78		5.13		-6.25
316	55.15		-75.14		27.69		22.65		2.26		1.68		-3.72
317	92.08		-3.97		-21.22		84.25		-5.18		-3.30		4.03
318	40.38		95.76		-84.69		-46.66		5.05		4.09		9.69
319	18.36		-61.44		39.60		-42.39		-0.47		0.50		0.14
320	18.19		-98.85		12.11		-70.79		-1.65		-5.67		7.46
321	53.80		38.73		42.12		-90.72		-6.04		2.37		0.86
322	20.06		18.27		-73.01		-50.59		7.33		-1.26		-6.51
323	32.41		31.03		71.40		-27.09		-8.52		-4.42		-4.72
324	90.52		-61.16		84.11		35.16		-7.49		7.66		-6.74
325	46.72		-22.60		-85.10		-9.64		7.81		-6.52		0.21
326	41.81		79.36		9.19		30.84		-6.31		4.50		-5.10
327	69.76		37.26		30.97		31.00		6.53		-2.42		1.55
328	20.27		73.08		32.94		-50.16		-5.05		-9.51		3.72
329	21.43		36.59		71.97		47.29		-8.60		-3.28		8.73
330	64.56		-54.23		37.73		-91.05		-9.62		8.30		-9.09
331	37.75		55.06		-36.90		-18.63		4.17		-6.08		-0.92
332	29.53		-17.07		34.28		-1.03		8.79		-7.21		4.12
333	65.22		92.98		-60.80		-81.40		9.47		-6.43		-8.27
334	26.45		-99.19		-65.57		-2.15		-0.35		-2.96		-6.06
335	31.46		-74.35		55.55		-56.16		-9.58		1.72		0.67
336	99.90		-38.06		-66.08		40.58		7.69		0.37		-3.26
337	10.43		-31.93		50.37		-69.03		7.12		-1.64		4.42
338	16.93		33.59		-88.24		4.31		-5.66		3.56		-9.26
339	12.07		33.67		-25.28		26.44		1.31		1.23		-9.22
340	39.39		46.87		75.95		-32.49		9.63		7.11		-2.26
341	2.89		-21.47		40.21		95.80		-2.98		-9.20		-2.21
342	56.53		-43.68		-26.33		-55.17		-3.15		7.63		-0.01
343	96.34		97.54		78.41		1.09		-3.99		3.03		1.71
344	65.00		-90.89		-65.86		-36.09		7.66		-7.73		-1.48
345	84.29		72.77		10.28		97.08		-3.24		8.82		2.70
346	61.58		-17.26		65.44		-63.49		-0.81		-3.00		5.78
347	29.38		35.69		23.98		-39.19		7.06		-7.14		-1.55
348	16.44		-56.99		48.70		-64.00		-8.12		0.68		-1.23
349	67.22		35.99		-79.68		27.34		8.10		5.44		-1.97
350	17.73		4.08		-92.86		-83.75		0.63		-5.01		6.36
351	60.25		-79.40		-48.68		-3.61		-9.80		3.68		-1.06
352	35.38		55.68		-36.62		55.23		-8.44		2.79		7.78
353	14.43		-42.28		-15.48		-21.89		6.23		6.79		1.52
354	27.51		-8.07		-70.23		73.15		7.23		9.56		-8.45
355	73.00		-43.98		-55.61		67.53		3.45		2.22		2.96
356	88.06		-16.24		-15.88		-74.57		9.40		0.44		2.80
357	28.48		67.14		52.32		-80.59		-6.70		-3.61		-8.00
358	65.39		-36.98		35.66		45.19		8.88		6.33		-5.12
359	45.73		80.31		17.47		-41.16		-5.66		-9.63		-1.58
360	65.72		-14.77		69.27		-1.83		6.52		8.85		2.49
361	54.62		0.07		-7.80		91.57		6.83		7.46		4.75
362	40.01		95.53		-1.68		88.79		-0.50		-7.97		-4.37
363	21.88		62.00		27.32		-46.02		1.52		6.67		-1.87
364	57.06		20.18		64.34		9.31		0.30		-6.07		-8.80
365	83.21		-93.88		-93.94		26.74		6.31		-1.49		-2.02
366	29.28		-56.48		-85.32		-38.73		2.14		-4.02		1.51
367	73.80		66.62		54.81		-36.36		4.83		8.09		-3.54
368	92.43		52.78		1.76		10.24		6.65		-2.88		-4.82
369	23.63		-99.75		-0.86		53.60		4.16		8.05		8.02
370	85.66		-0.76		65.29		99.77		9.38		8.05		-0.17
371	83.15		31.86		-1.15		94.18		9.74		-9.08		-4.65
372	1.14		22.69		93.30		23.29		-3.04		-7.99		-4.44
373	32.07		-99.15		-68.14		54.12		-6.32		5.59		6.96
374	49.54		22.73		-79.00		86.59		-2.21		-2.71		-4.67
375	89.61		-5.64		54.23		38.77		-8.10		-7.51		-6.59
376	26.69		-77.35		28.43		-57.39		-4.63		-5.00		5.60
377	88.29		14.40		-39.51		97.95		2.17		-4.82		4.28
378	70.85		-79.54		-72.61		-60.53		7.46		6.53		2.29
379	67.83		10.43		31.72		-26.65		-8.08		-1.84		-9.08
380	28.71		3.49		-45.55		-9.15		-1.56		8.31		-6.23
381	99.36		-67.24		-12.35		37.01		-1.42		-5.46		3.95
382	73.12		68.75		-59.01		-2.02		-4.11		-5.56		4.39
383	46.43		-89.48		-38.14		14.73		-8.38		6.39		-0.23
384	7.63		1.93		48.03		-16.62		-7.93		-1.08		9.06
385	21.52		57.65		-88.61		56.54		1.60		-2.02		-1.93
386	94.92		40.83		-83.47		-35.69		6.57		-6.78		-0.86
387	74.41		-57.45		95.00		-40.20		2.43		-9.90		-3.39
388	26.75		67.37		-9.70		2.31		-4.63		-9.95		-4.22
389	14.99		42.87		49.12		80.65		7.39		-3.55		-6.03
390	72.62		17.97		19.31		-59.06		0.19		1.08		-8.49
391	39.64		-36.48		14.49		10.61		2.67		-1.64		-5.44
392	44.79		-60.46		-18.76		-94.90		-1.74		-7.51		-7.91
393	15.70		-4.84		29.61		19.74		-6.70		8.42		4.87
394	70.68		7.38		-31.72		64.39		8.00		0.33		6.45
395	65.35		-30.57		25.13		-88.50		5.63		-3.56		1.96
396	20.55		-84.20		-39.83		50.04		-6.62		9.25		2.47
397	74.04		-60.26		97.98		-36.16		-7.83		-9.93		-9.49
398	34.97		-80.97		-13.60		-12.72		3.91		3.09		5.41
399	76.36		-66.78		18.15		86.33		0.76		1.27		9.00
400	45.27		-58.48		61.40		-1.52		-3.39		-4.67		2.64
401	84.07		51.80		80.98		74.09		-9.57		-3.05		1.43
402	51.73		-87.17		21.71		-42.50		1.00		0.35		-8.89
403	47.75		-11.14		-25.69		-16.54		7.20		-4.29		0.42
404	72.46		7.66		57.57		-79.49		9.84		8.82		-6.58
405	92.90		-48.81		-37.37		95.83		-7.11		0.90		6.57
406	72.59		62.25		51.23		3.63		-6.11		-0.27		-4.97
407	37.98		-35.79		93.20		63.90		1.60		4.40		-5.82
408	73.77		-39.01		-40.84		-91.94		0.09		-3.96		2.86
409	75.66		-71.45		-96.28		-12.28		-6.72		-1.46		4.67
410	25.50		-82.98		-60.42		-14.25		-4.90		3.32		5.66
411	51.00		89.43		-22.59		67.44		3.05		1.15		-7.53
412	65.52		87.71		20.75		-65.93		5.99		9.88		3.65
413	43.70		-75.30		-8.01		44.57		-5.02		-1.71		-0.11
414	86.57		62.99		-50.80		-98.38		6.59		-8.58		5.28
415	64.19		-27.74		20.34		-72.14		-0.10		-1.06		-3.11
416	73.49		-3.26		89.00		25.37		-5.59		8.61		9.70
417	20.19		-70.88		-90.18		-98.86		-9.77		6.44		7.69
